exp_id,base_yaml,modelname,data_lim,dx,hps_result
2900,2309,resnet34,1000,vf,
2901,2309,resnet34,2000,vf,
2902,2309,resnet34,5000,vf,
2903,2309,resnet34,20000,vf,
2904,2309,resnet34,50000,vf,
2905,2309,resnet34,100000,vf,
2906,2310,resnet50,1000,vf,
2907,2310,resnet50,2000,vf,
2908,2310,resnet50,5000,vf,
2909,2310,resnet50,20000,vf,
2910,2310,resnet50,50000,vf,
2911,2310,resnet50,100000,vf,
2912,2311,effnetb0,1000,vf,
2913,2311,effnetb0,2000,vf,
2914,2311,effnetb0,5000,vf,
2915,2311,effnetb0,20000,vf,
2916,2311,effnetb0,50000,vf,
2917,2311,effnetb0,100000,vf,
2918,2316,mega,1000,vf,
2919,2316,mega,2000,vf,
2920,2316,mega,5000,vf,
2921,2316,mega,20000,vf,
2922,2316,mega,50000,vf,
2923,2316,mega,100000,vf,
2924,2315,s4,1000,vf,
2925,2315,s4,2000,vf,
2926,2315,s4,5000,vf,
2927,2315,s4,20000,vf,
2928,2315,s4,50000,vf,
2929,2315,s4,100000,vf,
2930,2319,resnet18,1000,vf,
2931,2319,resnet18,2000,vf,
2932,2319,resnet18,5000,vf,
2933,2319,resnet18,20000,vf,
2934,2319,resnet18,50000,vf,
2935,2319,resnet18,100000,vf,
